transacao_id,imovel_id,bairro,tipo_imovel,area_m2,quartos,condicao,preco_total,preco_m2,comprador_id,comprador_cnpj,forma_pagamento,ano_transacao,mes_transacao,dias_no_mercado
TX-00001,IMO-00001,Centro,Apartamento,92,3,Usado,418313.16,4546.88,CPF-02925,,À vista,2023,10,38.0
TX-00002,IMO-00002,Messejana,Cobertura,215,3,Usado,736733.31,3426.67,CPF-02069,,Financiamento,2023,12,76.0
TX-00003,IMO-00003,Parangaba,Apartamento,62,3,Novo,295173.19,4760.86,CPF-02157,,Financiamento,2022,5,5.0
TX-00004,IMO-00004,Maracanaú,Apartamento,53,2,Usado,153461.2,2895.49,CPF-03428,,Financiamento,2022,2,5.0
TX-00005,IMO-00005,Maraponga,Apartamento,70,3,Novo,331702.68,4738.61,CPF-00673,,À vista,2023,3,
TX-00006,IMO-00006,Varjota,Apartamento,105,2,Usado,1180364.82,11241.57,CPF-01501,,À vista,2022,4,167.0
TX-00007,IMO-00007,Benfica,Cobertura,246,5,Usado,1304201.71,5301.63,CPF-04947,,À vista,2022,7,58.0
TX-00008,IMO-00008,Messejana,Apartamento,104,4,Usado,281189.4,2703.74,CPF-07179,,Financiamento,2022,10,53.0
TX-00009,IMO-00009,Benfica,Apartamento,105,3,Usado,587993.84,5599.94,CPF-07243,,À vista,2022,10,73.0
TX-00010,IMO-00010,Varjota,Casa,125,4,Usado,1434085.88,11472.69,CPF-07627,,À vista,2024,1,134.0
TX-00011,IMO-00011,Parquelândia,Apartamento,134,4,Usado,981680.77,7325.98,CPF-05957,,Financiamento,2022,3,5.0
TX-00012,IMO-00012,Benfica,Cobertura,140,3,Novo,570935.96,4078.11,CPF-04387,,À vista,2022,11,199.0
TX-00013,IMO-00013,Cocó,Casa,104,5,Novo,1218838.0,11719.6,CPF-02968,,À vista,2024,4,79.0
TX-00014,IMO-00014,Parangaba,Apartamento,54,4,Novo,267272.0,4949.48,CPF-06055,,Financiamento,2023,11,60.0
TX-00015,IMO-00015,Maracanaú,Casa,123,4,Usado,438116.48,3561.92,CPF-02368,,À vista,2023,10,5.0
TX-00016,IMO-00016,Cocó,Apartamento,57,4,Usado,535838.66,9400.68,CPF-04064,,Financiamento,2023,12,10.0
TX-00017,IMO-00017,Parquelândia,Apartamento,126,3,Novo,886209.55,7033.41,CPF-01107,,À vista,2024,9,110.0
TX-00018,IMO-00018,Parquelândia,Casa,105,2,Usado,838914.1,7989.66,CPF-09002,CNPJ-08003,À vista,2023,8,97.0
TX-00019,IMO-00019,Aquiraz (Beach Park),Apartamento,60,4,Usado,458343.35,7639.06,CPF-02102,,À vista,2024,9,103.0
TX-00020,IMO-00020,Aquiraz (Beach Park),Apartamento,45,2,Usado,384815.58,8551.46,CPF-03529,,À vista,2022,7,71.0
TX-00021,IMO-00021,Parangaba,Casa,211,3,Novo,941208.31,4460.7,CPF-05623,,À vista,2024,9,
TX-00022,IMO-00022,Fátima,Apartamento,91,2,Novo,751924.89,8262.91,CPF-05968,,À vista,2022,3,62.0
TX-00023,IMO-00023,Varjota,Casa,107,3,Usado,761272.99,7114.7,CPF-01142,,Financiamento,2024,8,142.0
TX-00024,IMO-00024,Varjota,Apartamento,67,3,Novo,612131.0,9136.28,CPF-05131,,À vista,2024,11,148.0
TX-00025,IMO-00025,Eusébio,Flat/Studio,33,1,Usado,187070.16,5668.79,CPF-01036,,À vista,2022,12,21.0
TX-00026,IMO-00026,Cocó,Apartamento,74,3,Usado,803592.12,10859.35,CPF-05472,,Financiamento,2024,11,49.0
TX-00027,IMO-00027,Parangaba,Apartamento,73,1,Usado,230715.8,3160.49,CPF-01770,,À vista,2024,6,114.0
TX-00028,IMO-00028,Aldeota,Apartamento,81,2,Novo,1029420.43,12708.89,CPF-00386,,Financiamento,2023,10,145.0
TX-00029,IMO-00029,Fátima,Flat/Studio,30,1,Usado,193878.72,6462.62,CPF-03558,,À vista,2022,4,87.0
TX-00030,IMO-00030,Aquiraz (Beach Park),Casa,140,3,Usado,969385.11,6924.18,CPF-07388,,À vista,2023,3,26.0
TX-00031,IMO-00031,Aquiraz (Beach Park),Flat/Studio,30,1,Usado,225345.75,7511.52,CPF-07171,,À vista,2022,7,149.0
TX-00032,IMO-00032,Centro,Casa,159,4,Novo,1264022.69,7949.83,CPF-03170,,À vista,2024,11,134.0
TX-00033,IMO-00033,Parquelândia,Flat/Studio,42,1,Usado,253553.6,6036.99,CPF-05251,,Financiamento,2022,8,133.0
TX-00034,IMO-00034,Papicu,Apartamento,83,3,Usado,526207.65,6339.85,CPF-04295,,À vista,2024,4,149.0
TX-00035,IMO-00035,Eusébio,Apartamento,69,3,Novo,552501.07,8007.26,CPF-07520,,À vista,2024,8,5.0
TX-00036,IMO-00036,Varjota,Apartamento,61,2,Usado,639618.46,10485.55,CPF-03504,,À vista,2024,4,61.0
TX-00037,IMO-00037,Montese,Casa,185,4,Usado,743644.65,4019.7,CPF-06296,,Financiamento,2023,1,158.0
TX-00038,IMO-00038,Aldeota,Casa,219,5,Novo,2720365.57,12421.76,CPF-02399,,Financiamento,2023,12,5.0
TX-00039,IMO-00039,Maraponga,Flat/Studio,38,1,Usado,132299.82,3481.57,CPF-02832,,À vista,2024,1,147.0
TX-00040,IMO-00040,Aldeota,Apartamento,92,4,Usado,777716.07,8453.44,CPF-04998,,Financiamento,2024,1,255.0
TX-00041,IMO-00041,Cocó,Cobertura,116,4,Novo,1334781.69,11506.74,CPF-02878,,À vista,2023,2,61.0
TX-00042,IMO-00042,Parquelândia,Apartamento,91,3,Usado,845693.31,9293.33,CPF-09014,CNPJ-08003,À vista,2022,4,175.0
TX-00043,IMO-00043,Dionísio Torres,Apartamento,32,4,Usado,362999.42,11343.73,CPF-04262,,À vista,2023,10,5.0
TX-00044,IMO-00044,Montese,Apartamento,42,3,Usado,205982.74,4904.35,CPF-03470,,À vista,2024,12,140.0
TX-00045,IMO-00045,Maraponga,Cobertura,130,4,Novo,482757.48,3713.52,CPF-04825,,À vista,2022,1,138.0
TX-00046,IMO-00046,Montese,Casa,139,4,Usado,589030.77,4237.63,CPF-02074,,Financiamento,2022,12,21.0
TX-00047,IMO-00047,Centro,Flat/Studio,34,1,Usado,201528.16,5927.3,CPF-05176,,Financiamento,2024,3,167.0
TX-00048,IMO-00048,Luciano Cavalcante,Apartamento,81,3,Usado,540557.71,6673.55,CPF-07989,,À vista,2024,4,5.0
TX-00049,IMO-00049,Fátima,Flat/Studio,27,1,Novo,210606.5,7800.24,CPF-01166,,À vista,2024,5,36.0
TX-00050,IMO-00050,Papicu,Casa,183,3,Usado,968911.02,5294.6,CPF-02105,,À vista,2022,6,129.0
TX-00051,IMO-00051,Eusébio,Apartamento,40,2,Usado,222450.13,5561.25,CPF-03714,,Financiamento,2022,3,235.0
TX-00052,IMO-00052,Maraponga,Apartamento,84,3,Novo,419705.13,4996.49,CPF-00306,,À vista,2024,10,258.0
TX-00053,IMO-00053,Edson Queiroz,Apartamento,75,3,Usado,630359.34,8404.79,CPF-07438,,À vista,2023,8,30.0
TX-00054,IMO-00054,Eusébio,Casa,121,4,Novo,1041448.36,8607.01,CPF-09008,CNPJ-08002,À vista,2023,2,75.0
TX-00055,IMO-00055,Aldeota,Apartamento,107,3,Novo,1415532.84,13229.28,CPF-00708,,À vista,2023,11,108.0
TX-00056,IMO-00056,Eusébio,Flat/Studio,24,1,Novo,140850.91,5868.79,CPF-00395,,À vista,2024,1,5.0
TX-00057,IMO-00057,Papicu,Apartamento,95,3,Usado,1032268.52,10865.98,CPF-09005,,À vista,2024,1,5.0
TX-00058,IMO-00058,Fátima,Casa,191,5,Usado,1541793.07,8072.22,CPF-02617,,À vista,2023,6,86.0
TX-00059,IMO-00059,Luciano Cavalcante,Cobertura,197,3,Novo,1054317.42,5351.87,CPF-01462,,Financiamento,2023,9,100.0
TX-00060,IMO-00060,Varjota,Apartamento,77,3,Novo,953537.66,12383.61,CPF-06133,,À vista,2023,12,132.0
TX-00061,IMO-00061,Dionísio Torres,Apartamento,74,3,Usado,589379.91,7964.59,CPF-00944,,Financiamento,2024,1,134.0
TX-00062,IMO-00062,Caucaia,Cobertura,212,3,Usado,720795.57,3399.98,CPF-03996,,Financiamento,2023,12,81.0
TX-00063,IMO-00063,Caucaia,Flat/Studio,40,1,Usado,119020.11,2975.5,CPF-05347,,À vista,2023,5,82.0
TX-00064,IMO-00064,Dionísio Torres,Casa,151,3,Usado,1125164.99,7451.42,CPF-03682,,À vista,2024,6,79.0
TX-00065,IMO-00065,Montese,Cobertura,189,4,Usado,607298.72,3213.22,CPF-05129,,Financiamento,2023,9,5.0
TX-00066,IMO-00066,Parquelândia,Apartamento,76,3,Usado,534445.66,7032.18,CPF-07631,,À vista,2023,2,145.0
TX-00067,IMO-00067,Centro,Apartamento,52,3,Usado,358189.65,6888.26,CPF-03351,,Financiamento,2023,11,67.0
TX-00068,IMO-00068,Dionísio Torres,Apartamento,97,2,Usado,867079.96,8938.97,CPF-01916,,Financiamento,2023,2,14.0
TX-00069,IMO-00069,Luciano Cavalcante,Casa,154,4,Novo,1251062.35,8123.78,CPF-00792,,Financiamento,2023,11,34.0
TX-00070,IMO-00070,Dionísio Torres,Apartamento,61,2,Usado,452683.4,7421.04,CPF-02681,,Financiamento,2022,8,37.0
TX-00071,IMO-00071,Meireles,Cobertura,200,5,Usado,2622307.63,13111.54,CPF-06666,,Financiamento,2024,4,5.0
TX-00072,IMO-00072,Caucaia,Apartamento,122,4,Usado,336061.41,2754.6,CPF-03009,,À vista,2022,5,106.0
TX-00073,IMO-00073,Luciano Cavalcante,Casa,239,3,Novo,2510447.42,10503.96,CPF-02697,,Financiamento,2022,8,65.0
TX-00074,IMO-00074,Centro,Apartamento,44,4,Novo,302775.7,6881.27,CPF-03513,,À vista,2023,2,144.0
TX-00075,IMO-00075,Maracanaú,Apartamento,88,3,Usado,328233.22,3729.92,CPF-05225,,Financiamento,2023,11,30.0
TX-00076,IMO-00076,Centro,Apartamento,58,3,Usado,315803.98,5444.9,CPF-07245,,Financiamento,2024,7,112.0
TX-00077,IMO-00077,Dionísio Torres,Flat/Studio,37,1,Novo,434653.41,11747.39,CPF-06519,,Financiamento,2022,3,5.0
TX-00078,IMO-00078,Centro,Apartamento,83,1,Novo,429672.75,5176.78,CPF-01042,,À vista,2024,10,78.0
TX-00079,IMO-00079,Papicu,Casa,138,2,Usado,882039.82,6391.59,CPF-05737,,Financiamento,2024,3,23.0
TX-00080,IMO-00080,Montese,Apartamento,65,4,Usado,270127.9,4155.81,CPF-00525,,À vista,2022,1,97.0
TX-00081,IMO-00081,Fátima,Flat/Studio,40,1,Usado,297580.37,7439.51,CPF-01292,,À vista,2022,6,122.0
TX-00082,IMO-00082,Meireles,Casa,196,2,Usado,2699788.72,13774.43,CPF-04419,,À vista,2024,5,119.0
TX-00083,IMO-00083,Luciano Cavalcante,Apartamento,68,3,Usado,525955.83,7734.64,CPF-03996,,À vista,2022,6,25.0
TX-00084,IMO-00084,Papicu,Apartamento,88,3,Usado,701671.08,7973.54,CPF-00474,,À vista,2022,9,95.0
TX-00085,IMO-00085,Luciano Cavalcante,Casa,125,3,Usado,984875.23,7879.0,CPF-06753,,À vista,2023,12,
TX-00086,IMO-00086,Montese,Flat/Studio,28,1,Novo,231585.72,8270.92,CPF-09003,CNPJ-08001,À vista,2023,12,116.0
TX-00087,IMO-00087,Messejana,Casa,93,5,Usado,345033.69,3710.04,CPF-05721,,À vista,2024,12,96.0
TX-00088,IMO-00088,Montese,Apartamento,62,2,Usado,272136.76,4389.3,CPF-06479,,À vista,2023,3,144.0
TX-00089,IMO-00089,Maraponga,Casa,151,4,Novo,755404.51,5002.68,CPF-03339,,À vista,2024,3,147.0
TX-00090,IMO-00090,Eusébio,Apartamento,70,2,Usado,378354.53,5405.06,CPF-06595,,À vista,2024,8,37.0
TX-00091,IMO-00091,Varjota,Casa,113,4,Usado,1056461.55,9349.22,CPF-05345,,À vista,2024,8,135.0
TX-00092,IMO-00092,Messejana,Apartamento,43,1,Usado,176064.19,4094.52,CPF-03596,,À vista,2022,1,161.0
TX-00093,IMO-00093,Luciano Cavalcante,Flat/Studio,36,1,Novo,322219.03,8950.53,CPF-07963,,À vista,2023,4,43.0
TX-00094,IMO-00094,Papicu,Apartamento,140,2,Novo,1124002.57,8028.59,CPF-07198,,Financiamento,2023,10,5.0
TX-00095,IMO-00095,Luciano Cavalcante,Apartamento,112,2,Usado,849031.11,7580.63,CPF-03327,,À vista,2024,3,41.0
TX-00096,IMO-00096,Varjota,Casa,222,3,Novo,2058085.06,9270.65,CPF-02711,,À vista,2022,1,69.0
TX-00097,IMO-00097,Cocó,Apartamento,85,3,Usado,889828.87,10468.57,CPF-07106,,À vista,2023,12,38.0
TX-00098,IMO-00098,Parquelândia,Apartamento,132,3,Usado,759741.15,5755.61,CPF-00793,,Financiamento,2024,11,74.0
TX-00099,IMO-00099,Aquiraz (Beach Park),Apartamento,37,4,Usado,261435.36,7065.82,CPF-03069,,À vista,2022,7,
TX-00100,IMO-00100,Parangaba,Flat/Studio,42,1,Usado,167828.11,3995.91,CPF-05298,,À vista,2023,11,98.0
TX-00101,IMO-00101,Edson Queiroz,Apartamento,83,2,Usado,518584.81,6248.01,CPF-07326,,À vista,2022,3,136.0
TX-00102,IMO-00102,Fátima,Apartamento,128,3,Usado,959049.16,7492.57,CPF-06357,,À vista,2023,10,129.0
TX-00103,IMO-00103,Eusébio,Casa,119,4,Usado,666203.72,5598.35,CPF-00318,,Financiamento,2024,6,130.0
TX-00104,IMO-00104,Luciano Cavalcante,Apartamento,52,3,Novo,630629.59,12127.49,CPF-09011,,À vista,2024,12,72.0
TX-00105,IMO-00105,Montese,Apartamento,30,1,Usado,131036.43,4367.88,CPF-02721,,À vista,2024,6,153.0
TX-00106,IMO-00106,Varjota,Cobertura,187,4,Novo,1667015.13,8914.52,CPF-05328,,À vista,2024,4,5.0
TX-00107,IMO-00107,Dionísio Torres,Apartamento,91,3,Usado,1075139.04,11814.71,CPF-07469,,À vista,2022,2,49.0
TX-00108,IMO-00108,Maracanaú,Apartamento,56,3,Novo,226744.97,4049.02,CPF-02877,,À vista,2022,10,251.0
TX-00109,IMO-00109,Aquiraz (Beach Park),Casa,187,4,Usado,1439269.24,7696.63,CPF-06345,,Financiamento,2023,11,124.0
TX-00110,IMO-00110,Varjota,Cobertura,236,3,Usado,2079536.91,8811.6,CPF-06231,,Financiamento,2024,8,199.0
TX-00111,IMO-00111,Parangaba,Casa,194,2,Usado,722106.94,3722.2,CPF-00236,,Financiamento,2023,2,104.0
TX-00112,IMO-00112,Meireles,Apartamento,57,2,Usado,710675.55,12467.99,CPF-06388,,À vista,2022,2,91.0
TX-00113,IMO-00113,Caucaia,Cobertura,184,3,Usado,668193.78,3631.49,CPF-00190,,À vista,2022,5,68.0
TX-00114,IMO-00114,Eusébio,Apartamento,50,3,Novo,327779.86,6555.6,CPF-02002,,À vista,2022,7,149.0
TX-00115,IMO-00115,Eusébio,Casa,91,5,Novo,614812.67,6756.18,CPF-02330,,À vista,2024,11,36.0
TX-00116,IMO-00116,Varjota,Apartamento,109,4,Usado,878026.64,8055.29,CPF-02038,,À vista,2022,10,156.0
TX-00117,IMO-00117,Edson Queiroz,Apartamento,67,3,Usado,615771.26,9190.62,CPF-00443,,À vista,2022,10,48.0
TX-00118,IMO-00118,Luciano Cavalcante,Apartamento,34,2,Usado,260031.07,7647.97,CPF-04204,,Financiamento,2023,6,180.0
TX-00119,IMO-00119,Papicu,Casa,196,4,Usado,1026754.93,5238.55,CPF-03022,,À vista,2023,8,88.0
TX-00120,IMO-00120,Caucaia,Casa,201,4,Novo,1197617.77,5958.3,CPF-09014,CNPJ-08003,À vista,2022,1,33.0
TX-00121,IMO-00121,Messejana,Apartamento,68,4,Novo,293842.25,4321.21,CPF-01785,,À vista,2022,10,37.0
TX-00122,IMO-00122,Papicu,Casa,185,5,Novo,1582880.54,8556.11,CPF-00449,,À vista,2023,6,53.0
TX-00123,IMO-00123,Eusébio,Apartamento,80,4,Usado,439465.41,5493.32,CPF-01817,,À vista,2023,7,67.0
TX-00124,IMO-00124,Aquiraz (Beach Park),Apartamento,47,3,Usado,304892.56,6487.08,CPF-02341,,À vista,2023,1,114.0
TX-00125,IMO-00125,Caucaia,Casa,214,4,Usado,565766.78,2643.77,CPF-03810,,À vista,2022,2,100.0
TX-00126,IMO-00126,Caucaia,Apartamento,54,1,Novo,271153.41,5021.36,CPF-09002,CNPJ-08004,À vista,2023,9,111.0
TX-00127,IMO-00127,Eusébio,Apartamento,47,4,Usado,227095.31,4831.82,CPF-01348,,Financiamento,2023,1,103.0
TX-00128,IMO-00128,Cocó,Casa,150,4,Usado,1316054.57,8773.7,CPF-02664,,Financiamento,2024,7,143.0
TX-00129,IMO-00129,Montese,Casa,119,4,Usado,527718.19,4434.61,CPF-01663,,À vista,2024,5,262.0
TX-00130,IMO-00130,Benfica,Apartamento,79,3,Usado,510389.82,6460.63,CPF-05654,,Financiamento,2024,10,47.0
TX-00131,IMO-00131,Caucaia,Apartamento,70,2,Usado,260740.09,3724.86,CPF-07361,,À vista,2024,2,42.0
TX-00132,IMO-00132,Maraponga,Apartamento,73,3,Usado,324360.57,4443.3,CPF-02482,,Financiamento,2024,8,110.0
TX-00133,IMO-00133,Parangaba,Casa,153,4,Usado,713521.5,4663.54,CPF-02690,,Financiamento,2023,5,7.0
TX-00134,IMO-00134,Caucaia,Apartamento,65,3,Usado,327897.85,5044.58,CPF-09009,CNPJ-08005,À vista,2023,12,187.0
TX-00135,IMO-00135,Benfica,Casa,240,3,Novo,1577292.27,6572.05,CPF-02046,,À vista,2024,8,116.0
TX-00136,IMO-00136,Montese,Apartamento,93,2,Novo,899150.44,9668.28,CPF-09001,,À vista,2022,8,116.0
TX-00137,IMO-00137,Fátima,Flat/Studio,22,1,Novo,186854.13,8493.37,CPF-02799,,À vista,2023,12,142.0
TX-00138,IMO-00138,Aquiraz (Beach Park),Flat/Studio,46,1,Usado,323955.57,7042.51,CPF-04678,,À vista,2022,11,5.0
TX-00139,IMO-00139,Parquelândia,Apartamento,30,4,Usado,161083.73,5369.46,CPF-01795,,À vista,2022,12,162.0
TX-00140,IMO-00140,Fátima,Apartamento,94,2,Usado,594583.26,6325.35,CPF-03282,,Financiamento,2024,12,97.0
TX-00141,IMO-00141,Luciano Cavalcante,Apartamento,70,3,Novo,648974.01,9271.06,CPF-04305,,À vista,2022,1,72.0
TX-00142,IMO-00142,Luciano Cavalcante,Casa,197,4,Novo,2029579.94,10302.44,CPF-05870,,Financiamento,2022,3,61.0
TX-00143,IMO-00143,Caucaia,Apartamento,72,3,Usado,230507.8,3201.5,CPF-03764,,À vista,2024,1,191.0
TX-00144,IMO-00144,Centro,Apartamento,71,2,Novo,478784.53,6743.44,CPF-07099,,À vista,2023,12,44.0
TX-00145,IMO-00145,Fátima,Apartamento,75,4,Usado,512280.94,6830.41,CPF-07223,,À vista,2023,11,83.0
TX-00146,IMO-00146,Maracanaú,Flat/Studio,40,1,Usado,119704.53,2992.61,CPF-04824,,Financiamento,2023,7,91.0
TX-00147,IMO-00147,Papicu,Apartamento,37,3,Novo,263343.84,7117.4,CPF-05428,,Financiamento,2023,5,214.0
TX-00148,IMO-00148,Aldeota,Casa,143,4,Usado,1280973.51,8957.86,CPF-03930,,À vista,2024,12,138.0
TX-00149,IMO-00149,Centro,Apartamento,75,3,Usado,442212.07,5896.16,CPF-07385,,À vista,2023,5,35.0
TX-00150,IMO-00150,Maraponga,Apartamento,94,2,Usado,386463.62,4111.32,CPF-00061,,À vista,2023,6,137.0
TX-00151,IMO-00151,Messejana,Apartamento,54,3,Novo,268770.88,4977.24,CPF-04529,,À vista,2024,3,159.0
TX-00152,IMO-00152,Parquelândia,Apartamento,69,2,Usado,354451.48,5136.98,CPF-02844,,À vista,2024,1,23.0
TX-00153,IMO-00153,Messejana,Casa,141,4,Novo,569286.79,4037.49,CPF-00718,,Financiamento,2023,3,150.0
TX-00154,IMO-00154,Meireles,Casa,61,4,Usado,931766.68,15274.86,CPF-04777,,À vista,2024,11,5.0
TX-00155,IMO-00155,Papicu,Flat/Studio,43,1,Usado,337478.28,7848.33,CPF-01668,,Financiamento,2022,11,119.0
TX-00156,IMO-00156,Maracanaú,Apartamento,78,2,Novo,324019.27,4154.09,CPF-02930,,À vista,2023,8,211.0
TX-00157,IMO-00157,Aquiraz (Beach Park),Casa,137,4,Novo,1169136.29,8533.84,CPF-00542,,À vista,2022,2,
TX-00158,IMO-00158,Montese,Apartamento,96,3,Novo,620178.52,6460.19,CPF-05319,,À vista,2024,8,138.0
TX-00159,IMO-00159,Centro,Cobertura,160,5,Novo,1015930.53,6349.57,CPF-00306,,À vista,2023,11,124.0
TX-00160,IMO-00160,Luciano Cavalcante,Apartamento,81,4,Usado,449973.66,5555.23,CPF-02359,,Financiamento,2022,4,5.0
TX-00161,IMO-00161,Luciano Cavalcante,Casa,113,4,Usado,900050.07,7965.04,CPF-02907,,Financiamento,2023,2,154.0
TX-00162,IMO-00162,Papicu,Apartamento,106,2,Usado,648616.43,6119.02,CPF-06507,,Financiamento,2023,11,166.0
TX-00163,IMO-00163,Dionísio Torres,Casa,222,3,Novo,2226822.66,10030.73,CPF-07963,,À vista,2024,4,145.0
TX-00164,IMO-00164,Parangaba,Apartamento,83,3,Usado,450927.5,5432.86,CPF-07203,,À vista,2023,8,111.0
TX-00165,IMO-00165,Benfica,Flat/Studio,20,1,Usado,121460.21,6073.01,CPF-02466,,À vista,2024,11,63.0
TX-00166,IMO-00166,Dionísio Torres,Casa,67,3,Usado,508917.69,7595.79,CPF-06541,,Financiamento,2024,6,103.0
TX-00167,IMO-00167,Varjota,Cobertura,205,3,Usado,1428290.17,6967.27,CPF-07443,,Financiamento,2024,11,134.0
TX-00168,IMO-00168,Meireles,Apartamento,97,2,Usado,1081564.04,11150.14,CPF-04697,,À vista,2023,1,181.0
TX-00169,IMO-00169,Luciano Cavalcante,Casa,201,3,Usado,1074805.47,5347.29,CPF-03598,,Financiamento,2024,10,80.0
TX-00170,IMO-00170,Meireles,Apartamento,31,2,Usado,331515.15,10694.04,CPF-05776,,À vista,2023,11,120.0
TX-00171,IMO-00171,Dionísio Torres,Apartamento,64,2,Novo,715207.07,11175.11,CPF-02592,,À vista,2024,5,22.0
TX-00172,IMO-00172,Centro,Apartamento,30,3,Usado,162832.04,5427.73,CPF-07963,,À vista,2023,7,62.0
TX-00173,IMO-00173,Edson Queiroz,Apartamento,45,3,Usado,325709.37,7237.99,CPF-06096,,À vista,2024,4,136.0
TX-00174,IMO-00174,Messejana,Apartamento,99,2,Novo,634815.35,6412.28,CPF-09001,,À vista,2024,11,72.0
TX-00175,IMO-00175,Maracanaú,Flat/Studio,27,1,Usado,109671.46,4061.91,CPF-01290,,À vista,2022,12,120.0
TX-00176,IMO-00176,Meireles,Apartamento,100,3,Novo,1657190.36,16571.9,CPF-03032,,À vista,2023,8,5.0
TX-00177,IMO-00177,Aldeota,Apartamento,106,2,Usado,902799.95,8516.98,CPF-06471,,À vista,2022,7,118.0
TX-00178,IMO-00178,Meireles,Apartamento,70,4,Usado,968469.09,13835.27,CPF-00533,,À vista,2023,10,5.0
TX-00179,IMO-00179,Montese,Apartamento,65,3,Novo,388812.89,5981.74,CPF-03315,,À vista,2024,1,132.0
TX-00180,IMO-00180,Papicu,Apartamento,93,3,Novo,567417.43,6101.26,CPF-03142,,Financiamento,2022,4,5.0
TX-00181,IMO-00181,Benfica,Casa,150,4,Usado,875731.49,5838.21,CPF-04056,,Financiamento,2023,1,195.0
TX-00182,IMO-00182,Aldeota,Flat/Studio,20,1,Usado,296548.87,14827.44,CPF-09004,,À vista,2023,5,141.0
TX-00183,IMO-00183,Maracanaú,Apartamento,96,4,Usado,286553.27,2984.93,CPF-04502,,À vista,2023,10,131.0
TX-00184,IMO-00184,Maraponga,Apartamento,121,2,Usado,477224.04,3944.0,CPF-06735,,À vista,2022,6,151.0
TX-00185,IMO-00185,Fátima,Apartamento,64,3,Usado,400860.46,6263.44,CPF-03830,,À vista,2023,12,38.0
TX-00186,IMO-00186,Aldeota,Apartamento,94,2,Usado,1053761.2,11210.23,CPF-05470,,À vista,2024,10,
TX-00187,IMO-00187,Parquelândia,Casa,205,4,Novo,1515009.77,7390.29,CPF-05179,,Financiamento,2024,4,66.0
TX-00188,IMO-00188,Cocó,Casa,155,3,Usado,1539619.26,9933.03,CPF-03809,,À vista,2023,12,40.0
TX-00189,IMO-00189,Meireles,Apartamento,40,2,Usado,389607.74,9740.19,CPF-01670,,À vista,2023,2,156.0
TX-00190,IMO-00190,Cocó,Apartamento,30,4,Usado,335675.88,11189.2,CPF-06994,,Financiamento,2024,8,135.0
TX-00191,IMO-00191,Fátima,Flat/Studio,36,1,Novo,237805.3,6605.7,CPF-00500,,Financiamento,2022,3,135.0
TX-00192,IMO-00192,Caucaia,Apartamento,68,3,Usado,216827.3,3188.64,CPF-00562,,À vista,2024,6,25.0
TX-00193,IMO-00193,Caucaia,Cobertura,133,4,Usado,424066.16,3188.47,CPF-06725,,Financiamento,2023,9,86.0
TX-00194,IMO-00194,Meireles,Apartamento,72,3,Novo,783531.17,10882.38,CPF-07281,,Financiamento,2024,12,189.0
TX-00195,IMO-00195,Fátima,Apartamento,66,3,Novo,574618.75,8706.34,CPF-06113,,À vista,2022,10,174.0
TX-00196,IMO-00196,Aquiraz (Beach Park),Apartamento,119,2,Usado,856058.77,7193.77,CPF-01434,,Financiamento,2022,9,30.0
TX-00197,IMO-00197,Caucaia,Apartamento,74,3,Usado,217648.69,2941.2,CPF-05481,,Financiamento,2023,9,157.0
TX-00198,IMO-00198,Edson Queiroz,Casa,201,2,Usado,1210967.94,6024.72,CPF-05434,,À vista,2023,7,105.0
TX-00199,IMO-00199,Edson Queiroz,Cobertura,148,4,Usado,1142968.02,7722.76,CPF-05989,,Financiamento,2024,9,23.0
TX-00200,IMO-00200,Centro,Apartamento,44,3,Usado,234935.31,5339.44,CPF-05748,,Financiamento,2022,3,218.0
TX-00201,IMO-00201,Eusébio,Apartamento,57,4,Novo,459191.27,8055.99,CPF-06181,,Financiamento,2023,6,11.0
TX-00202,IMO-00202,Aldeota,Apartamento,76,4,Novo,831951.63,10946.73,CPF-03253,,À vista,2022,10,5.0
TX-00203,IMO-00203,Parquelândia,Casa,152,4,Usado,788630.03,5188.36,CPF-02098,,À vista,2023,2,167.0
TX-00204,IMO-00204,Parquelândia,Apartamento,80,4,Usado,400555.46,5006.94,CPF-03449,,À vista,2023,11,165.0
TX-00205,IMO-00205,Montese,Apartamento,70,3,Novo,412872.12,5898.17,CPF-05266,,À vista,2023,3,142.0
